section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Sr. Pedro,Fast Food,5.0,(4),,Hernan Cortes St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed today
KFC Fuente Osmeña,Fast Food,3.8,(336),₱,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Andoks,Fast Food,4.0,(86),,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Dimsum Break,Fast Food,4.1,(8),,"G/F, Gaisano Fiesta Mall Tabunok, Cebu S Rd",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,3.7,(54),₱,"SM City Cebu, Juan Luna Ave Ext",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,2.7,(13),₱,G/F Gaisano Fiesta Mall Tabunok 6045,Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Kenny Rogers Roasters,Chicken,4.2,(38),₱₱,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Special Ngohiong Express,Restaurant,4.1,(17),,"Gaisano Savers, Maximo V. Patalinghug Jr. Ave.",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Dimsum Break,Dim Sum,4.1,(44),₱₱,139 Colon St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Bigby's,Restaurant,3.9,(107),,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
Greenwich,Pizza,4.1,(175),₱₱,"LEVEL 1 RAINTREE MALL, GEN. MAXILOM AVENUE",Fast-food chain with Filipino flavors,Open until 1:00 am,Takeaway,
Leylam Shawarma,Takeout Restaurant,3.3,(3),,"Food Court, Robinsons Fuente, 6000 Fuente Osmeña Cir",Quick stop for familiar Chinese fare,Open until 9:00 pm,Takeaway,Closed
Bonchon Chicken,Chicken,4.1,(118),₱₱,"Ayala Center Cebu, Bohol Ave, The Terraces",Korean fried chicken specialist,Open until 10:30 pm,Delivery · Takeaway,Temporarily closed
Tokyo Tokyo Philippines,Japanese,3.6,(22),₱₱,"G/F, SM Seaside, Reclamation Area",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
McDonald's Paseo Arcenas,Restaurant,4.4,(396),₱,Salvador St,Iconic fast-food burger & fries chain,Open until 6:00 pm,Delivery · Takeaway,Temporarily closed
Kenny Rogers Roasters,Chicken,3.9,(72),₱₱,"SM City Cebu, Upper Ground",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Rustic Chef's,Restaurant,4.2,(108),₱,Maximo V. Patalinghug Jr. Avenue,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
The Big Dipper,Restaurant,4.4,(23),,,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
Maxs Restaurant,Filipino,4.0,(33),₱₱,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery · Takeaway,Closed
Kuzina Guadalupe,Restaurant,3.8,(27),,M. Velez St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Topokkiman,Korean,4.5,(283),₱₱,"Banilad Rosedale Place, Banilad, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Closed today
Max's Restaurant BTC,Restaurant,3.9,(89),₱₱,"GCA Building, 13 Gov. M. Cuenco Ave",Chain eatery for Filipino fried chicken,Open until 10:00 pm,Delivery,
Ding How,Dim Sum,4.1,(56),,General Maxilom Ave Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Giligan's,Restaurant,4.2,(6),₱₱,"Unit G111 Starmall Talisay, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Open until 8:00 pm,Takeaway,Temporarily closed
Persian Palate,Persian,4.1,(271),₱₱,"Active Zone, Ayala Center Cebu, Archbishop Reyes Ave",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
BonChon,Restaurant,2.9,(9),₱₱,SM Seaside City,Korean fried chicken specialist,Open until 12:00 am,Delivery · Takeaway,Temporarily closed
Ngohiong Express,Restaurant,3.6,(56),,J. Luna Avenue,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Classic Savory,Restaurant,3.6,(5),₱₱,SM,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jonie's Flavored Chicken,Restaurant,4.2,(5),,Upper Ground SM City Cebu,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Guby's,Takeout Restaurant,3.9,(107),,"UGF, Kiosk , SM City Cebu, Juan Luna Avenue , 6000 Cebu City , Cebu",Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Braddex,Restaurant,4.2,(282),₱,Katipunan St,Fast-food chain with Filipino flavors,Open until 1:00 am,Delivery,
Classic Savory,Takeout Restaurant,4.1,(9),₱₱,"SM Seaside, F Vestil St Cor SRP",Quick stop for familiar Chinese fare,Open until 9:00 pm,Takeaway,Closed
Patty Pie,Restaurant,3.9,(47),,Cebu South Coastal Rd,Korean fried chicken specialist,Open until 9:00 pm,Delivery · Takeaway,Temporarily closed
Sinangag Station,Restaurant,4.3,(77),,R. Landon St,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Barikata Ramen Bar,Ramen,4.2,(152),,"G/F Calyx Building West Geonzon Street IT park Lungsod ng Cebu PH, W Geonzon St",Iconic fast-food burger & fries chain,Open until 10:30 pm,Delivery · Takeaway,Temporarily closed
Ngohiong Express,Restaurant,3.9,(72),,"Ayala access road (axis), Mactan St",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Special Ngohiong Express,Takeout Restaurant,5.0,(1),,85 Osmeña Blvd,Fast-food fried chicken chain,Open until 9:00 pm,Takeaway,Temporarily closed
Classic Savory,Restaurant,4.2,(6),,"Space 2107, 2F SM City Cebu, North Reclamation Area, Cebu City",Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
PAPSY'S BBQ narra uno,Restaurant,4.2,(261),₱₱,Gov. M. Cuenco Ave,Chain eatery for Filipino fried chicken,Open until 10:00 pm,Delivery · Takeaway,Closed
Loi-Loi's Eatery,Restaurant,5.0,(1),,Arlington Pond St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Doming's Ngohiong,Chinese,3.9,(105),,"Door #1 G/F Pacific Tourist Inn M. Gotianuy Bldg., V. Gullas St., 6000, Balintawak",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,Closed today
Classic Savory,Restaurant,4.3,(12),₱₱,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,
My Joy,Restaurant,4.2,(133),,Osmeña Blvd,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Conching Native Chicken,Restaurant,3.8,(184),₱₱,Juan Luna St. North Reclamation Area,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Ribshack,Restaurant,4.1,(124),,"SM City Cebu Juan Luna Ave. Corner Cabahug And, Kaohsiung St",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Giligan's,Filipino,3.5,(42),₱₱,"Ayala Center Cebu Level 3 Terraces Area, Bohol Ave",Korean fried chicken specialist,Open until 12:00 am,Delivery · Takeaway,Temporarily closed
Kakahoyan Restaurant,Fast Food,3.5,(2),,Upper Linao Street,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Paray's Lechon Baboy,Fast Food,4.3,(11),,Kombado,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Anthony's Eatery,Fast Food,3.0,(1),,"M.L Quezon Avenue, Pajo",Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Kandingan Sa Opon Restaurant,Fast Food,4.5,(2),,Basak Road,Fast-food chain with Filipino flavors,Open until 1:00 am,Delivery,
Cebu's Original Lechon Belly,Fast Food,5.0,(1),,"Super Metro Gaisano M.L., M.L. Quezon National Highway",Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,Closed
Mang Inasal,Fast Food,3.4,(54),₱,"Parkmall, 168 Ouano Avenue",Korean fried chicken specialist,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Mang Inasal,Fast Food,3.7,(54),₱,"SM City Cebu, Juan Luna Ave Ext",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.6,(22),₱,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Cebu's Original Lechon Belly,Fast Food,4.0,(5),,"Savemore, Sitio Looc, M.L. Quezon National Highway",Fast-food fried chicken chain,Open until 8:00 pm,Delivery,Closed
Leylam Deluxe SM Seaside Cebu,Fast Food,4.7,(3),,Unnamed Road,Fast-food fried chicken chain,Open until 9:00 pm,Takeaway,Temporarily closed
Tiktilaok,Fast Food,4.6,(7),,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
Mang Inasal,Fast Food,4.0,(7),,"Gaisano Fiesta Mall, South National Highway",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery · Takeaway,Closed
Golden Arches Development Corporation,Fast Food,5.0,(1),,Colon Corner Borromeo Street,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Andok's,Fast Food,3.8,(9),,Juan Luna Ave Ext,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,Closed today
Yellow Bee 24,Fast Food,5.0,(2),,"42 Wilson St, Apas, Cebu City, 6000 Wilson St",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,
Sweet Heaven Industries Corporation.,Fast Food,4.2,(133),,"J.P. Rizal Street Mandaue City, 6014 Cebu, Philippines",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
ANGANA Kumain,Fast Food,3.0,(1),,Tungkop Rd,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Dimsum Break,Fast Food,4.1,(8),,"G/F, Gaisano Fiesta Mall Tabunok, Cebu S Rd",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Leylam Shawarma,Fast Food,3.5,(4),,"2nd Floor Robinsons Cybergate Cebu, Don Gil Garcia Street",Korean fried chicken specialist,Open until 9:00 pm,Delivery · Takeaway,Temporarily closed
Mang Inasal,Fast Food,3.5,(56),₱,"Osmeña Blvd, corner F. Gonzales St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee 138 Mall Colon,Fast Food,5.0,(1),,"138 Mall, 138 Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Chowking,Fast Food,3.5,(29),₱,"Level 1, Starmall Azienda, Lawaan 1, Talisay City",Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Mang Inasal,Fast Food,3.5,(20),₱,"SM Seaside City, Cebu South Coastal Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,2.3,(10),₱,"Colonade Mall, Colon St. Cor Legaspi St.",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Closed
Okinawa Heat - SM Foodcourt,Fast Food,5.0,(2),,SM City Cebu,Korean fried chicken specialist,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Chowking,Fast Food,3.1,(25),₱,"Unit 131, G/F, Gaisano Country Mall, Banilad, Cebu City",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,2.9,(11),,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Chowking,Hong Kong style fast food restaurant,4.1,(361),₱,W Geonzon St,Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery,Closed
Chowking,Fast Food,2.8,(10),,G/F Gaisano Country Mall,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,Temporarily closed
Jafar's Shawarma Station,Fast Food,3.1,(16),,Ayala Center Cebu,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
Chowking,Hong Kong style fast food restaurant,4.1,(66),₱,26 Osmeña Blvd,Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,Closed
KFC Fuente Osmeña,Fast Food,3.8,(336),₱,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Mang Inasal,Fast Food,2.7,(13),₱,G/F Gaisano Fiesta Mall Tabunok 6045,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed today
Burger King,Fast Food,2.6,(13),,Mactan Cebu International Airport Terminal 2,Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,
KFC Mandaue,Fast Food,4.0,(421),₱,"RAMCAR Building, M. C. Briones Avenue, Maguikay Mandaue",Fast-food fried chicken chain,Open until 8:00 pm,Delivery,Closed
KFC E Bloc 3,Fast Food,3.9,(50),₱,"eBloc 3 Tower, Stall 109 Level 1, G/F",Fast-food fried chicken chain,Open until 9:00 pm,Takeaway,Temporarily closed
Cebu Lumpia House,Fast Food,4.0,(56),,262 Manalili St,Fast-food fried chicken chain,Open until 5:30 pm,Delivery,Temporarily closed
KFC Cebu IT Park,Fast Food,3.9,(67),₱,G/F i2 & i3 Building Asia Town IT Park Apas,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,,Delivery,
Burger King,Fast Food,4.2,(713),₱₱,F. Cabahug St,Fast-food chain for grilled burgers,Open until 5:00 pm,Delivery,
Cebu Fastfood,Fast Food,3.0,(2),,,,,,Temporarily closed
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Chowabungga,Fast Food,4.4,(230),,"GF i1 Building, Jose Maria del Mar St",,Opens at 5:00 pm,Takeaway,Closed
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,,Delivery,
Burger King,Fast Food,4.1,(261),₱₱,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Open until 10:00 pm,,
Jollibee,Fast Food,4.2,(362),₱,"Pueblo Verde, Mepz 2",Fast-food chain with Filipino flavors,,Delivery,
McDonald's,Fast Food,4.0,(57),₱,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Open until 8:00 pm,,
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,Open until 11:00 pm,Delivery,
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,,Open until 10:00 pm,,
McDonald's,Fast Food,4.1,(561),₱,"NH1, National Hwy",Iconic fast-food burger & fries chain,,Delivery · Takeaway,
Triple V Express Fastfood,Fast Food,4.1,(17),,,,,,
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Open until 12:00 am,Delivery,
McDonald's,Fast Food,4.1,(417),₱,"Ma. Christina Building, Fuente Osmeña Cir",Iconic fast-food burger & fries chain,,Delivery,
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,,
McDonald's,Fast Food,4.0,(277),₱,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.3,(46),₱,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,Open until 10:00 pm,,
McDonald's,Fast Food,4.2,(437),₱,Ouano Avenue,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.1,(477),₱,N Escario St,Iconic fast-food burger & fries chain,,Delivery · Takeaway,
"Quest Restaurants, Incorporated",Fast Food,4.3,(6),,"Basement 1, Quest Hotel Cebu, J. Solon Drive",Iconic fast-food burger & fries chain,Open until 5:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(84),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.2,(93),₱,,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,Closed
Back Yard Burgers,Fast Food,3.0,(1),,ParkMall Cebu,Chain with creative burgers & shakes,,Delivery,
Jollibee,Fast Food,4.0,(151),₱,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Chowking,Fast Food,4.0,(41),₱,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",Iconic fast-food burger & fries chain,Open until 8:00 pm,,Temporarily closed
McDonald's,Fast Food,4.1,(360),₱,"Mambaling, Cebu S Rd",Iconic fast-food burger & fries chain,Open until 5:00 pm,Delivery · Takeaway,
Army Navy Burger + Burrito,Fast Food,4.2,(174),₱₱,"Metro, W Geonzon St",,Open until 10:00 pm,,Temporarily closed
Bayadpo Delivery And Services,Fast Food,4.2,(143),,"Corner Plaridel Street, Ac Cortes Avenue",Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
Jollibee,Fast Food,4.5,(78),₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(350),₱,M. C. Briones St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,4.1,(20),₱,"Robinsons Fuente, Fuente Osmeña Cir",Fast-food chain with Filipino flavors,Open until 9:30 pm,Delivery,
Orange Brutus,Fast Food,4.0,(6),,2 Archbishop Reyes Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Orange Brutus,Fast Food,2.2,(6),,"12, One Pavilion Mall, 22 R. Duterte St, Banawe",Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,
KFC,Fast Food,4.2,(95),₱,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,
McDonald's,Fast Food,4.1,(480),₱,Hernan Cortes St. Cor. A.S. Fortuna St.,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery,
Jollibee,Fast Food,4.2,(17),₱,U.N. Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Food 4 Az All,Fast Food,4.1,(477),,"Second Floor JY Square Mall, No. 1 Salinas Drive, Lahug",Iconic fast-food burger & fries chain,,Delivery · Takeaway,
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
McDonald's,Fast Food,3.8,(253),₱,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Iconic fast-food burger & fries chain,Open until 7:30 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Wild Rice Food Express,Fast Food,5.0,(4),,"13, St. John Road, Sacred Heart Village Banawa",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,Fast Food,4.2,(19),,"P Burgos St, P. Burgos Street",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
"Remros Food, Inc.",Fast Food,4.0,(41),,Cebu Business Park,Iconic fast-food burger & fries chain,Open until 8:00 pm,,Temporarily closed
XiongSohn,Fast Food,4.0,(40),,Maximo V. Patalinghug Jr. Avenue,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
Hi-Flyers Food Incorporated,Fast Food,4.2,(174),,"3rd Floor, Paseo Verde, Archbishop Reyes Avenue, Cebu Business Park",,Open until 10:00 pm,,Temporarily closed
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
Letty's Snackhaus,Fast Food,4.5,(78),,Zone 13 Freedom Park Carbon Calderon St.,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,3.9,(113),₱,"st.,, Across, Basilica del Sto. Nino, Osmeña Boulevard, Osmeña Blvd",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Aikasarap Food Station,Fast Food,4.1,(20),,Don Jose Avila Street,Fast-food chain with Filipino flavors,Open until 9:30 pm,Delivery,
Mang Inasal - 138 Mall,Fast Food,3.9,(87),,"Colonnade, 138 Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Gencono's Grill and Restaurant,Fast Food,2.2,(6),,"Humay Humay Road, Sangi",Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,
Chowking,Fast Food,3.9,(21),₱,"Upper Ground Floor., SM City Cebu, Cebu City",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery,
Jollibee,Fast Food,3.6,(31),₱,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.2,(153),₱,"2/F Gaisano Mactan Island Mall, M.L. Quezon National Highway",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.1,(277),₱,"President Osmeña Blvd, Corner Arlington Pond St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.6,(53),₱,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Orange Brutus,Fast Food,2.0,(3),,"Gaisano Grano Jai - Alai, Candido Padilla St",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Closed
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,"The Maxwell Hotel, N Escario St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Breakfast Club,Fast Food,4.7,(6),,"Asiatown-It Park, Lahug",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Dimsum Break,Fast Food,4.0,(27),₱₱,168 Park Mall Dr,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.3,(12),,Osmeña Blvd,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.1,(119),₱,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Kanadara Restaurant,Fast Food,4.0,(104),,F Ramos Street,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
MyJoy,Fast Food,3.8,(28),,10 Apitong St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
The Rustic Food Corner,Fast Food,4.1,(14),,"Tree House, R Aboitiz St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.1,(160),₱,A. Del Rosario St,Fast-food chain with Filipino flavors,Open until 9:30 pm,Delivery,
Lola Inda Fast Food,Fast Food,1.0,(1),,F. Ramos St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,
Jollibee,Fast Food,4.2,(170),₱,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,3.7,(367),₱,"G/F Cinco Centrum, Fuente Osmeña Cir",Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery,
KFC,Fast Food,3.8,(36),,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(49),₱,"La Nueva Supermarket Mactan, G.Y. Dela Serna St",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.0,(359),₱,693 M. L. Quezon Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
Island Grill,Fast Food,3.0,(1),,"SM City Cebu, Food Court, Lower Ground",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,3.8,(192),₱,Island Central Mall,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.1,(151),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Mang Inasal,Fast Food,5.0,(1),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
"Good Food, Ah!",Fast Food,5.0,(2),,Fooda Saversmart,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,155 F Villa St,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,Temporarily closed
Prito Kings,Fast Food,2.0,(1),,"Sacred Heart School, 1774 General Maxilom Avenue Extension",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
